YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1992,164083,164260,163747,164759,165617,166098,167305,167797,169407,170681,171025,172995
1993,175078,173770,172328,176766,178445,178201,180759,180692,181800,182910,184746,186339
1994,185128,188077,191588,191632,190940,193196,193763,196157,197754,199579,199723,200670
1995,201583,198383,200230,201048,202993,205507,204959,206529,206978,206157,208661,210434
1996,208731,212011,213855,214644,216304,216059,216374,216355,219240,221039,220989,221898
1997,223524,225409,226136,224588,222906,226048,228738,229317,230284,229822,230486,231197
1998,231605,231664,233043,235976,237055,238958,237423,236412,238542,242531,244307,246577
1999,246891,249510,250657,252418,254738,255472,257441,260253,261352,261825,264883,269876
2000,268091,272020,275214,271004,271418,273440,272638,272943,277523,276973,275923,275736
2001,278916,278799,276468,280804,281540,280399,279522,281423,276095,294613,286960,283708
2002,283577,285061,284263,288820,284994,287401,290427,292582,288434,289634,291475,293819
2003,295294,291178,296347,295643,296395,299662,302788,307745,305916,304824,308551,307362
2004,309225,311427,316935,313531,318962,314971,318532,318945,324607,326680,327837,331877
2005,329728,332491,332263,337501,334350,344212,347587,342633,343367,344652,347268,347072
2006,357816,354422,356258,357631,356160,357524,359806,360280,358682,358531,359213,364625
2007,363317,363946,367433,365883,370621,368206,369892,371013,373858,374811,377992,375203
2008,375101,371684,372156,373803,375484,376991,375095,372738,366147,352969,340405,332007
2009,336759,335860,330402,331182,334811,339377,340647,347223,338708,341460,344965,346239
2010,346762,347120,354704,356822,354657,354267,354761,356952,359819,364465,367024,369560
2011,372403,375095,378891,380605,380745,383474,384061,383845,387424,390837,391922,391719
2012,395431,400305,402206,400070,399694,395977,398079,402296,406937,405808,407798,410441
2013,412657,417357,414578,413359,415500,417471,419158,417795,418877,420065,421473,423643
2014,418777,424017,429358,433049,433081,435946,435576,438281,437428,439749,441553,438418
2015,434929,431921,438572,438717,443913,443734,447097,447133,446855,446929,448376,449109
